url_start,url_end,diff_mean,diff_max,diff_min,diff_sum,diff_count
/secure/accountoperations.aspx,/secure/multicurrencycard/defaultaccount/confirmation.aspx,11.0,11,11,11,1
/secure/accountoperations.aspx,/secure/news.aspx,15.5,18,13,31,2
/secure/accountoperations.aspx,/secure/paymentform.aspx,19.0,19,19,19,1
/secure/accountoperations.aspx,/secure/printclientbankdetails.aspx,3.0,3,3,6,2
/secure/accounts.aspx,/secure/accountclose/create.aspx,23.264150943396228,423,2,3699,159
/secure/accounts.aspx,/secure/accounts.aspx,32.372173913043476,557,1,18614,575
/secure/accounts.aspx,/secure/approvedcreditforcard/list.aspx,41.416666666666664,179,7,497,12
/secure/accounts.aspx,/secure/auditevents.aspx,221.0,221,221,221,1
/secure/accounts.aspx,/secure/autopayments/all/list.aspx,11.5,18,5,23,2
/secure/accounts.aspx,/secure/autopayments/all/select.aspx,24.85185185185185,143,2,1342,54
/secure/accounts.aspx,/secure/autopayments/all/tax/create.aspx,1.0,1,1,1,1
/secure/accounts.aspx,/secure/autopayments/list.aspx,18.620689655172413,45,4,540,29
/secure/accounts.aspx,/secure/autopayments/view.aspx,56.0,56,56,56,1
/secure/accounts.aspx,/secure/autopaymentsmobile/all/list.aspx,14483.0,14483,14483,14483,1
/secure/accounts.aspx,/secure/bonusprogram/compensate/withdrawalcash.aspx,25.142857142857142,58,5,176,7
/secure/accounts.aspx,/secure/bonusprogram/mkbbonus/main.aspx,37.74063400576369,624,1,13096,347
/secure/accounts.aspx,/secure/cardactivation/complete.aspx,3.0,3,3,3,1
/secure/accounts.aspx,/secure/cardchoice/cardchoice.aspx,14.0,14,14,14,1
/secure/accounts.aspx,/secure/cardnew/create.aspx,12.75,28,6,51,4
/secure/accounts.aspx,/secure/cardoperations.aspx,19.823529411764707,113,1,674,34
/secure/accounts.aspx,/secure/cardtoaccount/complete.aspx,59.333333333333336,166,5,178,3
/secure/accounts.aspx,/secure/cardtoaccount/create.aspx,66.7,433,7,1334,20
/secure/accounts.aspx,/secure/cardtocardtransboundary/create.aspx,29.75,41,23,119,4
/secure/accounts.aspx,/secure/cardtocardtransfer/create.aspx,33.333333333333336,160,5,1600,48
/secure/accounts.aspx,/secure/cardtransferfromclosed/create.aspx,27.0,46,17,81,3
/secure/accounts.aspx,/secure/communication/feedbackcomplete.aspx,5.0,5,5,5,1
/secure/accounts.aspx,/secure/communication/messageslist.aspx,64.78787878787878,843,3,2138,33
/secure/accounts.aspx,/secure/communication/messageslistmobile.aspx,4612.0,4612,4612,4612,1
/secure/accounts.aspx,/secure/dcards.aspx,25.46119733924612,698,1,68898,2706
/secure/accounts.aspx,/secure/depositallinclusive/change/create.aspx,25.0,25,25,25,1
/secure/accounts.aspx,/secure/depositallinclusive/new/create.aspx,36.62032085561497,671,2,13696,374
/secure/accounts.aspx,/secure/depositclose/confirmation.aspx,42.45454545454545,72,20,467,11
/secure/accounts.aspx,/secure/depositclose/create.aspx,15.0,31,5,150,10
/secure/accounts.aspx,/secure/depositcommon/confirmation.aspx,100.0,327,16,400,4
/secure/accounts.aspx,/secure/depositcommon/create.aspx,18.333333333333332,39,6,165,9
/secure/accounts.aspx,/secure/deps.aspx,27.98015472586613,868,1,83185,2973
/secure/accounts.aspx,/secure/depsarchive.aspx,1.0,1,1,1,1
/secure/accounts.aspx,/secure/depsops.aspx,19.5,99,2,468,24
/secure/accounts.aspx,/secure/directory.aspx,34.78888888888889,253,7,3131,90
/secure/accounts.aspx,/secure/documentreference/download.aspx,32.0,125,8,544,17
/secure/accounts.aspx,/secure/earlyrepaymentloan/confirmation.aspx,13.0,13,13,13,1
/secure/accounts.aspx,/secure/fps/confirmation.aspx,11.0,11,11,11,1
/secure/accounts.aspx,/secure/fps/create.aspx,27.855855855855857,157,4,3092,111
/secure/accounts.aspx,/secure/fps/settings/main.aspx,26.0,48,1,208,8
/secure/accounts.aspx,/secure/government/search.aspx,30.31578947368421,95,5,576,19
/secure/accounts.aspx,/secure/info.aspx,30.25,46,4,121,4
/secure/accounts.aspx,/secure/informingsettings/select.aspx,18.666666666666668,41,8,112,6
/secure/accounts.aspx,/secure/insurance/list.aspx,26.296296296296298,186,3,710,27
/secure/accounts.aspx,/secure/intrabank/create.aspx,33.83050847457627,274,4,1996,59
/secure/accounts.aspx,/secure/loans.aspx,14.2,323,1,3479,245
/secure/accounts.aspx,/secure/main.aspx,16566.502689284236,86386,1,40041237,2417
/secure/accounts.aspx,/secure/mkbtravel/main.aspx,112.375,452,16,899,8
/secure/accounts.aspx,/secure/news.aspx,28.375,163,2,1362,48
/secure/accounts.aspx,/secure/openaccount/create.aspx,26.788888888888888,213,2,2411,90
/secure/accounts.aspx,/secure/openbrokerageaccount/create.aspx,23.0,23,23,23,1
/secure/accounts.aspx,/secure/opensavingsaccount/confirmation.aspx,29.0,29,29,29,1
/secure/accounts.aspx,/secure/opensavingsaccount/create.aspx,21.225,170,2,2547,120
/secure/accounts.aspx,/secure/operations.aspx,29.917073170731708,287,1,6133,205
/secure/accounts.aspx,/secure/ops.aspx,34.963948497854076,584,1,40733,1165
/secure/accounts.aspx,/secure/ordercash.aspx,30.166666666666668,56,9,181,6
/secure/accounts.aspx,/secure/paymentcomplete.aspx,25.3125,114,2,405,16
/secure/accounts.aspx,/secure/paymentform.aspx,36.11925175370226,623,2,46341,1283
/secure/accounts.aspx,/secure/paymentservices/complete.aspx,27.0,36,18,54,2
/secure/accounts.aspx,/secure/paymentservices/create.aspx,23.0,39,12,138,6
/secure/accounts.aspx,/secure/printclientbankdetails.aspx,20.346153846153847,156,1,2645,130
/secure/accounts.aspx,/secure/purposeloan/select.aspx,24.0,24,24,24,1
/secure/accounts.aspx,/secure/purposeloanaddrequest/calculator.aspx,27.0,45,9,54,2
/secure/accounts.aspx,/secure/purposeloanaddrequestmobile/calculator.aspx,9289.0,9289,9289,9289,1
/secure/accounts.aspx,/secure/purposeloanaddrequestmobile/cardcreditchoice.aspx,71629.0,71629,71629,71629,1
/secure/accounts.aspx,/secure/repaymentofcreditsways.aspx,34.25,90,4,137,4
/secure/accounts.aspx,/secure/savingaccountpurpose/close/create.aspx,32.0,32,32,32,1
/secure/accounts.aspx,/secure/savingaccountpurpose/complete.aspx,21.0,21,21,21,1
/secure/accounts.aspx,/secure/savingaccountpurpose/create.aspx,35.06521739130435,270,1,1613,46
/secure/accounts.aspx,/secure/servicepackages/list.aspx,22.41860465116279,120,1,964,43
/secure/accounts.aspx,/secure/signdocument/create.aspx,17.0,17,17,17,1
/secure/accounts.aspx,/secure/singlepaymentdocument/create.aspx,11.666666666666666,26,3,35,3
/secure/accounts.aspx,/secure/stateservices/create.aspx,36.2,87,5,181,5
/secure/accounts.aspx,/secure/subscribe/list.aspx,15.0,15,15,15,1
/secure/accounts.aspx,/secure/systemsettings/selectsysoper.aspx,81.9,268,12,819,10
/secure/accounts.aspx,/secure/userblock.aspx,16.25,24,11,65,4
/secure/accounts.aspx,/secure/viewsettings.aspx,14.658227848101266,100,2,1158,79
/secure/activatesecurecodescard/complete.aspx,/secure/activatesecurecodescard/create.aspx,4.0,4,4,4,1
/secure/activatesecurecodescard/complete.aspx,/secure/autopayments/list.aspx,9.0,9,9,9,1
/secure/activatesecurecodescard/complete.aspx,/secure/dcards.aspx,8.0,11,5,16,2
/secure/activatesecurecodescard/complete.aspx,/secure/deps.aspx,12.0,12,12,12,1
/secure/activatesecurecodescard/complete.aspx,/secure/fps/create.aspx,16.0,23,9,32,2
/secure/activatesecurecodescard/complete.aspx,/secure/main.aspx,7.0,7,7,7,1
/secure/activatesecurecodescard/confirmation.aspx,/secure/activatesecurecodescard/complete.aspx,15.666666666666666,24,10,141,9
/secure/activatesecurecodescard/confirmation.aspx,/secure/activatesecurecodescard/create.aspx,12.0,12,12,12,1
/secure/activatesecurecodescard/create.aspx,/secure/accounts.aspx,3.0,3,3,3,1
/secure/activatesecurecodescard/create.aspx,/secure/activatesecurecodescard/confirmation.aspx,24.6,84,8,246,10
/secure/activatesecurecodescard/create.aspx,/secure/activatesecurecodescard/create.aspx,63.5,125,12,254,4
/secure/activatesecurecodescard/create.aspx,/secure/approvedcreditforcard/list.aspx,14.0,20,8,28,2
/secure/activatesecurecodescard/create.aspx,/secure/autopayments/all/select.aspx,13.0,23,3,26,2
/secure/activatesecurecodescard/create.aspx,/secure/autopayments/list.aspx,40.0,124,3,240,6
/secure/activatesecurecodescard/create.aspx,/secure/bonusprogram/compensate/withdrawalcash.aspx,15.0,15,15,15,1
/secure/activatesecurecodescard/create.aspx,/secure/bonusprogram/mkbbonus/main.aspx,35.5,64,7,71,2
/secure/activatesecurecodescard/create.aspx,/secure/cardactivation/confirmation.aspx,29.0,29,29,29,1
/secure/activatesecurecodescard/create.aspx,/secure/cardareaaction/create.aspx,22.0,22,22,22,1
/secure/activatesecurecodescard/create.aspx,/secure/cardoperations.aspx,21.571428571428573,45,8,151,7
/secure/activatesecurecodescard/create.aspx,/secure/dcards.aspx,18.77777777777778,63,6,169,9
/secure/activatesecurecodescard/create.aspx,/secure/deps.aspx,18.0,21,15,36,2
/secure/activatesecurecodescard/create.aspx,/secure/fps/create.aspx,32.0,32,32,32,1
/secure/activatesecurecodescard/create.aspx,/secure/fps/settings/account/confirmation.aspx,7.0,7,7,7,1
/secure/activatesecurecodescard/create.aspx,/secure/fps/settings/main.aspx,14.083333333333334,89,3,169,12
/secure/activatesecurecodescard/create.aspx,/secure/informingsettings/select.aspx,10.714285714285714,20,3,75,7
/secure/activatesecurecodescard/create.aspx,/secure/intrabank/create.aspx,42.0,42,42,42,1
/secure/activatesecurecodescard/create.aspx,/secure/main.aspx,2372.48,35164,3,59312,25
/secure/activatesecurecodescard/create.aspx,/secure/news.aspx,9.0,14,4,18,2
/secure/activatesecurecodescard/create.aspx,/secure/operations.aspx,8.428571428571429,25,2,59,7
/secure/activatesecurecodescard/create.aspx,/secure/paymentconfirmation.aspx,5.0,5,5,5,1
/secure/activatesecurecodescard/create.aspx,/secure/paymentform.aspx,35.0,35,35,35,1
/secure/activatesecurecodescard/create.aspx,/secure/subscribe/list.aspx,8.5,9,8,17,2
/secure/activatesecurecodescard/create.aspx,/secure/systemsettings/selectsysoper.aspx,16.25,157,1,585,36
/secure/activatesecurecodescard/create.aspx,/secure/userblock.aspx,65.0,186,15,260,4
/secure/activation.aspx,/secure/activation.aspx,842.1481481481482,11700,3,22738,27
/secure/activation.aspx,/secure/main.aspx,194.0927536231884,1097,46,66962,345
/secure/anotheremitet/delete/complete.aspx,/secure/accounts.aspx,5.0,5,5,5,1
/secure/anotheremitet/delete/complete.aspx,/secure/anotheremitet/delete/create.aspx,8.0,8,8,8,1
/secure/anotheremitet/delete/complete.aspx,/secure/autopayments/list.aspx,16.0,16,16,16,1
/secure/anotheremitet/delete/complete.aspx,/secure/dcards.aspx,10.0,34,3,190,19
/secure/anotheremitet/delete/complete.aspx,/secure/directory.aspx,46.0,46,46,46,1
/secure/anotheremitet/delete/complete.aspx,/secure/fps/create.aspx,212.0,212,212,212,1
/secure/anotheremitet/delete/complete.aspx,/secure/main.aspx,7.288135593220339,222,1,430,59
/secure/anotheremitet/delete/complete.aspx,/secure/operations.aspx,7.0,7,7,7,1
/secure/anotheremitet/delete/complete.aspx,/secure/paymentservices/create.aspx,5.0,5,5,5,1
/secure/anotheremitet/delete/confirmation.aspx,/secure/anotheremitet/delete/complete.aspx,16.83529411764706,71,4,1431,85
/secure/anotheremitet/delete/confirmation.aspx,/secure/anotheremitet/delete/create.aspx,23.857142857142858,90,1,167,7
/secure/anotheremitet/delete/confirmation.aspx,/secure/dcards.aspx,13.0,13,13,13,1
/secure/anotheremitet/delete/confirmation.aspx,/secure/main.aspx,108.75,352,13,435,4
/secure/anotheremitet/delete/create.aspx,/secure/accounts.aspx,4.0,4,4,4,1
/secure/anotheremitet/delete/create.aspx,/secure/anotheremitet/delete/confirmation.aspx,6.948979591836735,34,1,681,98
/secure/anotheremitet/delete/create.aspx,/secure/dcards.aspx,9.0,16,1,72,8
/secure/anotheremitet/delete/create.aspx,/secure/loans.aspx,8.0,8,8,8,1
/secure/anotheremitet/delete/create.aspx,/secure/main.aspx,23.966666666666665,324,1,719,30
/secure/anotheremitet/delete/create.aspx,/secure/paymentform.aspx,66.0,66,66,66,1
/secure/anotheremitet/new/complete.aspx,/secure/accounts.aspx,6.0,7,5,24,4
/secure/anotheremitet/new/complete.aspx,/secure/autopayments/list.aspx,13.0,13,13,13,1
/secure/anotheremitet/new/complete.aspx,/secure/cardtocardtransfer/create.aspx,28.0,54,10,112,4
/secure/anotheremitet/new/complete.aspx,/secure/dcards.aspx,12.88888888888889,69,2,116,9
/secure/anotheremitet/new/complete.aspx,/secure/main.aspx,4.818181818181818,29,1,371,77
/secure/anotheremitet/new/complete.aspx,/secure/news.aspx,9.0,9,9,9,1
/secure/anotheremitet/new/complete.aspx,/secure/paymentform.aspx,22.0,22,22,22,1
/secure/anotheremitet/new/confirmation.aspx,/secure/anotheremitet/new/complete.aspx,8.072916666666666,45,2,775,96
/secure/anotheremitet/new/confirmation.aspx,/secure/main.aspx,148.0,148,148,148,1
/secure/anotheremitet/new/create.aspx,/secure/accounts.aspx,96.0,260,7,384,4
/secure/anotheremitet/new/create.aspx,/secure/anotheremitet/new/confirmation.aspx,92.55102040816327,470,10,9070,98
/secure/anotheremitet/new/create.aspx,/secure/anotheremitet/new/create.aspx,149.8,446,2,749,5
/secure/anotheremitet/new/create.aspx,/secure/autopayments/all/select.aspx,17.0,26,8,34,2
/secure/anotheremitet/new/create.aspx,/secure/cardchoice/cardchoice.aspx,16.0,16,16,16,1
/secure/anotheremitet/new/create.aspx,/secure/cardtocardtransfer/create.aspx,27.0,47,5,81,3
/secure/anotheremitet/new/create.aspx,/secure/communication/messageslist.aspx,335.0,335,335,335,1
/secure/anotheremitet/new/create.aspx,/secure/dcards.aspx,23.22641509433962,262,1,1231,53
/secure/anotheremitet/new/create.aspx,/secure/deps.aspx,109.66666666666667,315,5,329,3
/secure/anotheremitet/new/create.aspx,/secure/directory.aspx,12.0,12,12,12,1
/secure/anotheremitet/new/create.aspx,/secure/intrabank/create.aspx,13.0,13,13,13,1
/secure/anotheremitet/new/create.aspx,/secure/loans.aspx,8.0,8,8,8,1
/secure/anotheremitet/new/create.aspx,/secure/main.aspx,2722.156779661017,82232,1,642429,236
/secure/anotheremitet/new/create.aspx,/secure/news.aspx,125.0,245,5,250,2
/secure/anotheremitet/new/create.aspx,/secure/operations.aspx,9.0,9,9,9,1
/secure/anotheremitet/new/create.aspx,/secure/paymentform.aspx,45.333333333333336,94,13,136,3
/secure/anotheremitet/new/create.aspx,/secure/purposeloanaddrequestmobile/calculator.aspx,165.0,165,165,165,1
/secure/approvedcreditforcard/list.aspx,/secure/accounts.aspx,22.583333333333332,69,7,271,12
/secure/approvedcreditforcard/list.aspx,/secure/activatesecurecodescard/create.aspx,68.5,122,15,137,2
/secure/approvedcreditforcard/list.aspx,/secure/approvedcreditforcard/list.aspx,46.357142857142854,480,1,649,14
/secure/approvedcreditforcard/list.aspx,/secure/autopayments/all/select.aspx,28.90909090909091,137,3,318,11
/secure/approvedcreditforcard/list.aspx,/secure/autopayments/list.aspx,24.666666666666668,32,13,74,3
/secure/approvedcreditforcard/list.aspx,/secure/bonusprogram/compensate/withdrawalcash.aspx,12.142857142857142,25,5,85,7
/secure/approvedcreditforcard/list.aspx,/secure/bonusprogram/mkbbonus/main.aspx,11.829268292682928,53,3,485,41
/secure/approvedcreditforcard/list.aspx,/secure/cardchoice/cardchoice.aspx,23.0,23,23,23,1
/secure/approvedcreditforcard/list.aspx,/secure/cardcreditnew/cardcreditchoice.aspx,28.285714285714285,89,9,198,7
/secure/approvedcreditforcard/list.aspx,/secure/cardoperations.aspx,4.0,5,3,8,2
/secure/approvedcreditforcard/list.aspx,/secure/cardtocardtransboundary/create.aspx,11.0,11,11,11,1
/secure/approvedcreditforcard/list.aspx,/secure/cardtocardtransfer/create.aspx,77.0,81,73,154,2
/secure/approvedcreditforcard/list.aspx,/secure/communication/messageslist.aspx,81.5,126,37,163,2
/secure/approvedcreditforcard/list.aspx,/secure/dcards.aspx,22.019607843137255,223,2,1123,51
/secure/approvedcreditforcard/list.aspx,/secure/depositallinclusive/new/create.aspx,17.75,28,10,71,4
/secure/approvedcreditforcard/list.aspx,/secure/deps.aspx,16.63157894736842,58,3,316,19
/secure/approvedcreditforcard/list.aspx,/secure/depsops.aspx,11.0,11,11,11,1
/secure/approvedcreditforcard/list.aspx,/secure/directory.aspx,20.428571428571427,45,9,143,7
/secure/approvedcreditforcard/list.aspx,/secure/documentreference/download.aspx,14.0,23,5,28,2
/secure/approvedcreditforcard/list.aspx,/secure/fps/create.aspx,15.0,19,10,60,4
/secure/approvedcreditforcard/list.aspx,/secure/fps/settings/account/confirmation.aspx,4.0,4,4,4,1
/secure/approvedcreditforcard/list.aspx,/secure/fps/settings/main.aspx,24.0,35,13,48,2
/secure/approvedcreditforcard/list.aspx,/secure/government/search.aspx,16.75,41,5,134,8
/secure/approvedcreditforcard/list.aspx,/secure/informingsettings/select.aspx,26.0,53,9,104,4
/secure/approvedcreditforcard/list.aspx,/secure/insurance/list.aspx,14.75,28,6,59,4
/secure/approvedcreditforcard/list.aspx,/secure/loans.aspx,16.869565217391305,135,5,388,23
/secure/approvedcreditforcard/list.aspx,/secure/main.aspx,7716.310679611651,84353,1,794780,103
/secure/approvedcreditforcard/list.aspx,/secure/mkbtravel/main.aspx,34.0,61,7,68,2
/secure/approvedcreditforcard/list.aspx,/secure/news.aspx,13.461538461538462,55,3,175,13
/secure/approvedcreditforcard/list.aspx,/secure/opensavingsaccount/create.aspx,18.666666666666668,22,15,56,3
/secure/approvedcreditforcard/list.aspx,/secure/operations.aspx,14.705882352941176,60,2,250,17
/secure/approvedcreditforcard/list.aspx,/secure/ordercash.aspx,46.5,59,34,93,2
/secure/approvedcreditforcard/list.aspx,/secure/paymentcomplete.aspx,2.0,2,2,2,1
/secure/approvedcreditforcard/list.aspx,/secure/paymentform.aspx,25.625,48,8,205,8
/secure/approvedcreditforcard/list.aspx,/secure/purposeloan/select.aspx,16.0,42,2,80,5
/secure/approvedcreditforcard/list.aspx,/secure/purposeloanaddrequest/calculator.aspx,26.346153846153847,224,6,685,26
/secure/approvedcreditforcard/list.aspx,/secure/purposeloanaddrequestmobile/calculator.aspx,28660.0,28660,28660,28660,1
/secure/approvedcreditforcard/list.aspx,/secure/repaymentofcreditsways.aspx,13.5,26,5,54,4
/secure/approvedcreditforcard/list.aspx,/secure/servicepackages/list.aspx,17.0,20,14,34,2
/secure/approvedcreditforcard/list.aspx,/secure/signdocument/create.aspx,16.0,16,16,16,1
/secure/approvedcreditforcard/list.aspx,/secure/stateservices/create.aspx,5.0,5,5,5,1
/secure/approvedcreditforcard/list.aspx,/secure/subscribe/list.aspx,14.0,14,14,14,1
/secure/approvedcreditforcard/list.aspx,/secure/systemsettings/selectsysoper.aspx,28.6,56,4,143,5
/secure/auditevents.aspx,/secure/auditevents.aspx,13.5,18,9,27,2
/secure/auditevents.aspx,/secure/bonusprogram/mkbbonus/main.aspx,14.0,14,14,14,1
/secure/auditevents.aspx,/secure/communication/messageslist.aspx,95.0,95,95,95,1
/secure/auditevents.aspx,/secure/dcards.aspx,16.0,16,16,16,1
/secure/auditevents.aspx,/secure/deps.aspx,24.0,24,24,24,1
/secure/auditevents.aspx,/secure/insurance/list.aspx,7.0,7,7,7,1
/secure/auditevents.aspx,/secure/main.aspx,44523.0,84289,11,445230,10
/secure/auditevents.aspx,/secure/operations.aspx,7.5,11,4,15,2
/secure/auditevents.aspx,/secure/paymentform.aspx,13.0,13,13,13,1
/secure/auditevents.aspx,/secure/systemsettings/selectsysoper.aspx,11.0,11,11,11,1
/secure/autopayments/all/autopaymentdirectory.aspx,/secure/autopayments/all/autopaymentdirectory.aspx,19.0,30,8,38,2
/secure/autopayments/all/autopaymentdirectory.aspx,/secure/autopayments/all/mobilephone/create.aspx,34.970588235294116,156,7,1189,34
/secure/autopayments/all/autopaymentdirectory.aspx,/secure/autopayments/all/select.aspx,19.236842105263158,193,2,731,38
/secure/autopayments/all/autopaymentdirectory.aspx,/secure/autopayments/list.aspx,38.0,38,38,38,1
/secure/autopayments/all/autopaymentdirectory.aspx,/secure/communication/messageslist.aspx,28.0,28,28,28,1
/secure/autopayments/all/autopaymentdirectory.aspx,/secure/dcards.aspx,18.0,18,18,18,1
/secure/autopayments/all/autopaymentdirectory.aspx,/secure/directory.aspx,23.333333333333332,33,14,140,6
/secure/autopayments/all/autopaymentdirectory.aspx,/secure/insurance/list.aspx,25.0,25,25,25,1
/secure/autopayments/all/autopaymentdirectory.aspx,/secure/main.aspx,13094.625,82352,23,104757,8
/secure/autopayments/all/autopaymentdirectory.aspx,/secure/news.aspx,12.0,24,2,48,4
/secure/autopayments/all/autopaymentdirectory.aspx,/secure/operations.aspx,17.2,34,3,86,5
/secure/autopayments/all/autopaymentdirectory.aspx,/secure/paymentservices/create.aspx,13.0,13,13,13,1
/secure/autopayments/all/debt/create.aspx,/secure/autopayments/all/select.aspx,10.076923076923077,30,1,131,13
/secure/autopayments/all/debt/create.aspx,/secure/autopayments/all/tax/create.aspx,13.0,13,13,13,1
/secure/autopayments/all/debt/create.aspx,/secure/directory.aspx,45.0,45,45,45,1
/secure/autopayments/all/debt/create.aspx,/secure/main.aspx,3996.0,3996,3996,3996,1
/secure/autopayments/all/debt/create.aspx,/secure/news.aspx,17.0,17,17,17,1
/secure/autopayments/all/debt/create.aspx,/secure/operations.aspx,8.0,8,8,8,1
/secure/autopayments/all/fine/create.aspx,/secure/autopayments/all/select.aspx,71.5,98,45,143,2
/secure/autopayments/all/fine/create.aspx,/secure/autopayments/list.aspx,61.0,61,61,61,1
/secure/autopayments/all/fine/create.aspx,/secure/dcards.aspx,39.0,39,39,39,1
/secure/autopayments/all/info.aspx,/secure/autopayments/all/info.aspx,1.0,1,1,1,1
/secure/autopayments/all/info.aspx,/secure/autopayments/all/list.aspx,15.142857142857142,50,3,106,7
/secure/autopayments/all/info.aspx,/secure/autopayments/all/new/create.aspx,20.571428571428573,83,5,144,7
/secure/autopayments/all/info.aspx,/secure/deps.aspx,20.0,20,20,20,1
/secure/autopayments/all/info.aspx,/secure/directory.aspx,16.75,27,10,67,4
/secure/autopayments/all/info.aspx,/secure/main.aspx,53.0,92,14,106,2
/secure/autopayments/all/info.aspx,/secure/operations.aspx,24.5,43,6,49,2
/secure/autopayments/all/info.aspx,/secure/singlepaymentdocument/create.aspx,22.0,22,22,22,1
/secure/autopayments/all/list.aspx,/secure/accounts.aspx,13.0,13,13,26,2
/secure/autopayments/all/list.aspx,/secure/approvedcreditforcard/list.aspx,89.0,89,89,89,1
/secure/autopayments/all/list.aspx,/secure/autopayments/all/info.aspx,11.08,51,2,277,25
/secure/autopayments/all/list.aspx,/secure/autopayments/all/list.aspx,28.467741935483872,415,1,1765,62
/secure/autopayments/all/list.aspx,/secure/autopayments/all/mobilephone/confirmation.aspx,6.0,10,3,36,6
/secure/autopayments/all/list.aspx,/secure/autopayments/all/mobilephone/create.aspx,10.333333333333334,47,2,217,21
/secure/autopayments/all/list.aspx,/secure/autopayments/all/mobilephone/info.aspx,8.88888888888889,32,2,400,45
/secure/autopayments/all/list.aspx,/secure/autopayments/all/mosenergomarket/create.aspx,18.666666666666668,50,4,112,6
/secure/autopayments/all/list.aspx,/secure/autopayments/all/mosenergomarket/info.aspx,14.096774193548388,65,2,437,31
/secure/autopayments/all/list.aspx,/secure/autopayments/all/new/create.aspx,12.8,52,3,128,10
/secure/autopayments/all/list.aspx,/secure/autopayments/all/select.aspx,16.387096774193548,108,1,508,31
/secure/autopayments/all/list.aspx,/secure/autopayments/all/tax/info.aspx,12.666666666666666,14,10,38,3
/secure/autopayments/all/list.aspx,/secure/autopayments/list.aspx,27.0,69,8,135,5
/secure/autopayments/all/list.aspx,/secure/autopaymentsmobile/all/list.aspx,897.0,1495,299,1794,2
/secure/autopayments/all/list.aspx,/secure/bonusprogram/mkbbonus/main.aspx,42.333333333333336,63,28,127,3
/secure/autopayments/all/list.aspx,/secure/cardoperations.aspx,24.5,27,22,49,2
/secure/autopayments/all/list.aspx,/secure/communication/messageslist.aspx,40.0,58,22,80,2
/secure/autopayments/all/list.aspx,/secure/dcards.aspx,29.0,53,14,116,4
/secure/autopayments/all/list.aspx,/secure/deps.aspx,22.666666666666668,47,6,68,3
/secure/autopayments/all/list.aspx,/secure/directory.aspx,66.0,176,28,396,6
/secure/autopayments/all/list.aspx,/secure/fps/create.aspx,19.875,39,8,159,8
/secure/autopayments/all/list.aspx,/secure/government/search.aspx,10.5,14,7,21,2
/secure/autopayments/all/list.aspx,/secure/intrabank/create.aspx,27.0,27,27,27,1
/secure/autopayments/all/list.aspx,/secure/loans.aspx,7.5,9,6,15,2
/secure/autopayments/all/list.aspx,/secure/main.aspx,4797.482758620689,69879,2,139127,29
/secure/autopayments/all/list.aspx,/secure/news.aspx,18.217391304347824,267,1,419,23
/secure/autopayments/all/list.aspx,/secure/operations.aspx,36.63636363636363,169,1,403,11
/secure/autopayments/all/list.aspx,/secure/paymentform.aspx,13.333333333333334,29,3,40,3
/secure/autopayments/all/list.aspx,/secure/paymentservices/create.aspx,5.0,8,2,10,2
